Date,Open,High,Low,Close
2018-03-01 13:00:00-05:00,358.815,358.85,355.681,356.5603
2018-03-01 12:00:00-05:00,358.28,360.8,358.09,358.6573
2018-03-01 11:00:00-05:00,356.33,362.25,355.63,358.41
2018-03-01 10:00:00-05:00,362.51,363.66,354.12,356.4699
2018-03-01 09:00:00-05:00,361.95,362.99,360.2,362.2
2018-03-01 08:00:00-05:00,361.99,362.78,361,361.6
2018-02-28 20:00:00-05:00,364.49,364.49,363.75,364.21
2018-02-28 19:00:00-05:00,364,364.5,363.75,364.02
2018-02-28 18:00:00-05:00,362.56,364.11,362.55,364.11
2018-02-28 17:00:00-05:00,362.33,363.7,362.21,362.55
2018-02-28 16:00:00-05:00,365.695,366.37,362.21,362.31
2018-02-28 15:00:00-05:00,368.52,369.3399,365.261,365.71
2018-02-28 14:00:00-05:00,368.76,368.79,367.35,368.42
2018-02-28 13:00:00-05:00,369.27,369.535,367.21,368.781
2018-02-28 12:00:00-05:00,367.35,369.24,366.6,369.24
2018-02-28 11:00:00-05:00,371.16,371.6,367.04,367.4
2018-02-28 10:00:00-05:00,367.22,371.49,366.14,371.1512
